O  1 917.473A
O  1 917.726A
O  1 917.970A
P  3 918.147A
Ar 1 918.493A
O  1 918.704A
O  1 919.912A
O  1 920.243A
H  1 920.963A
Ar 1 922.509A
O  1 922.969A
H  1 923.150A
O  1 923.438A
Cr 3 924.009A
H  1 926.226A
O  1 927.472A
O  1 928.186A
Al 2 929.014A
H  1 930.748A
O  1 934.501A
O  1 935.672A
H  1 937.804A
N  1 942.258A
C  1 943.939A
C  2 946.100A
O  1 946.387A
O  1 948.506A
H  1 949.743A
P  4 950.661A
N  1 952.118A
N  1 953.970A
N  1 954.104A
Mg 2 959.306A
P  2 963.828A
P  2 967.202A
O  1 969.049A
H  1 972.537A
O  1 973.577A
O  1 976.791A
C  3 977.000A
N  1 980.700A
Cl 4 981.258A
N  3 991.000A
Si 2 993.354A
P  3 1001.73A
S  3 1007.34A
Cl 3 1011.29A
C  2 1020.18A
Si 2 1024.03A
H  1 1025.72A
Cr 3 1033.06A
Cr 3 1035.74A
C  2 1036.80A
Mg 2 1040.08A
Cl 2 1071.32A
He 2 1084.94A
Blnd 1085.00A
S  4 1086.27A
C  2 1092.50A
Ar 1 1095.69A
P  5 1121.30A
N  1 1131.12A
C  1 1140.10A
P  2 1154.42A
C  3 1175.99A
Si 2 1179.59A
S  3 1194.45A
Mn 2 1198.85A
N  1 1200.00A
Si 3 1206.50A
He 2 1215.13A
H  1 1215.67A
C  1 1247.50A
Blnd 1256.00A
Mg 2 1257.64A
Si 2 1264.74A
Si 2 1309.28A
P  2 1307.68A
C  1 1314.77A
Ni 2 1324.11A
C  2 1335.00A
P  3 1341.17A
O  1 1357.00A
Ni 2 1375.73A
Si 4 1393.75A
Ni 2 1400.37A
Si 4 1402.77A
S  4 1406.02A
S  4 1416.89A
Ni 2 1472.74A
Ni 2 1484.97A
N  4 1486.50A
Si 2 1533.43A
C  4 1548.19A
C  4 1550.78A
C  1 1561.33A
C  3 1577.10A
He 2 1640.43A
C  1 1656.27A
O  3 1660.81A
Blnd 1666.00A
Al 2 1670.79A
Blnd 1720.00A
N  2 1742.00A
Ni 2 1744.24A
N  3 1748.65A
N  3 1751.22A
Ni 2 1751.83A
N  3 1752.16A
N  3 1754.00A
Ne 3 1814.56A
Si 2 1816.93A
C  3 1828.00A
Al 3 1854.72A
Al 3 1862.79A
Si 3 1882.71A
Si 3 1892.03A
C  3 1906.68A
C  3 1908.73A
Cr 2 2059.78A
Blnd 2141.00A
C  3 2296.90A
O  3 2320.95A
C  2 2323.50A
C  2 2324.69A
C  2 2326.93A
C  2 2328.12A
Si 2 2334.60A
Si 2 2344.20A
Fe 2 2399.24A
Blnd 2424.00A
Blnd 2471.00A
Mn 2 2588.97A
Al 2 2660.35A
Al 2 2669.15A
Mg 2 2795.53A
Mg 2 2802.71A
He 1 2829.08A
Mg 1 2852.13A
Ar 4 2853.66A
He 1 2945.10A
Ar 3 3109.18A
He 1 3187.74A
Ne 3 3342.18A
Ne 5 3426.03A
He 1 3447.59A
He 1 3613.64A
S  3 3721.63A
Blnd 3726.00A
Blnd 3729.00A
H  1 3797.89A
He 1 3819.61A
H  1 3835.38A
O  2 3867.00A
He 1 3867.48A
Ne 3 3868.76A
He 1 3888.63A
H  1 3889.05A
He 1 3964.73A
Ne 3 3967.47A
H  1 3970.07A
He 1 4026.20A
N  2 4041.00A
O  2 4051.00A
S  2 4068.60A
C  3 4069.00A
Blnd 4074.00A
O  2 4075.00A
S  2 4076.35A
O  2 4094.00A
H  1 4101.73A
O  2 4111.00A
He 1 4120.82A
He 1 4143.76A
O  2 4152.00A
He 1 4168.97A
O  2 4188.00A
N  2 4239.00A
C  2 4267.00A
O  2 4278.00A
O  2 4294.00A
Fe 2 4305.89A
H  1 4340.46A
O  2 4342.00A
Blnd 4363.00A
N  3 4379.00A
He 1 4387.93A
He 1 4437.55A
He 1 4471.49A
O  2 4607.00A
C  1 4621.57A
C  3 4649.00A
Fe 3 4658.01A
P  2 4669.25A
He 2 4685.64A
Fe 3 4701.62A
Ar 4 4711.26A
He 1 4713.03A
Blnd 4720.00A
Ar 4 4740.12A
Fe 3 4754.64A
H  1 4861.33A
O  2 4913.00A
He 1 4921.93A
O  3 4931.23A
O  3 4958.91A
N  2 5005.00A
O  3 5006.84A
He 1 5015.68A
He 1 5047.64A
Ar 3 5191.82A
N  1 5197.90A
N  1 5200.26A
Fe 3 5270.40A
Cl 4 5323.28A
Cl 3 5517.71A
Cl 3 5537.87A
O  1 5577.34A
N  2 5679.00A
N  2 5754.61A
He 1 5875.64A
Na 1 5889.95A
O  1 6300.30A
S  3 6312.06A
O  1 6363.78A
N  2 6548.05A
H  1 6562.81A
N  2 6583.45A
He 1 6678.15A
S  2 6716.44A
Blnd 6720.00A
S  2 6730.82A
He 1 7065.22A
Ar 3 7135.79A
Ar 4 7170.70A
Ar 4 7237.77A
Ar 4 7263.33A
He 1 7281.35A
Blnd 7306.00A
Blnd 7323.00A
Blnd 7332.00A
Ar 4 7332.15A
Cl 4 7530.54A
Ar 3 7751.11A
O  1 7773.00A
O  1 7949.50A
Cl 4 8045.62A
He 1 8361.73A
Cl 2 8578.70A
Fe 2 8616.95A
C  1 8727.13A
H  1 9014.87A
S  3 9068.62A
