H  1 923.150A
H  1 926.226A
H  1 930.748A
H  1 937.804A
H  1 949.743A
H  1 972.537A
H  1 1025.72A
He 2 1084.94A
He 2 1215.13A
H  1 1215.67A
N  4 1486.50A
C  4 1548.19A
C  4 1550.78A
He 2 1640.43A
O  3 1660.81A
Blnd 1666.00A
Ne 3 1814.56A
Al 3 1854.72A
Al 3 1862.79A
C  3 1906.68A
C  3 1908.73A
Blnd 2141.00A
O  3 2320.95A
C  2 2323.50A
C  2 2324.69A
C  2 2326.93A
C  2 2328.12A
Blnd 2424.00A
Blnd 2471.00A
Al 2 2660.35A
Al 2 2669.15A
Mg 2 2795.53A
Mg 2 2802.71A
Ar 4 2853.66A
Ar 3 3109.18A
Ne 3 3342.18A
Ne 5 3426.03A
S  3 3721.63A
Blnd 3726.00A
Blnd 3729.00A
H  1 3797.89A
H  1 3835.38A
O  2 3867.00A
Ne 3 3868.76A
He 1 3888.63A
H  1 3889.05A
Ne 3 3967.47A
H  1 3970.07A
S  2 4068.60A
S  2 4076.35A
H  1 4101.73A
H  1 4340.46A
Blnd 4363.00A
He 1 4471.49A
C  1 4621.57A
He 2 4685.64A
Ar 4 4711.26A
Blnd 4720.00A
Ar 4 4740.12A
H  1 4861.33A
O  3 4931.23A
O  3 4958.91A
O  3 5006.84A
Ar 3 5191.82A
N  1 5200.26A
Cl 3 5517.71A
Cl 3 5537.87A
O  1 5577.34A
N  2 5754.61A
He 1 5875.64A
O  1 6300.30A
S  3 6312.06A
O  1 6363.78A
N  2 6548.05A
H  1 6562.81A
N  2 6583.45A
He 1 6678.15A
S  2 6716.44A
S  2 6730.82A
He 1 7065.22A
Ar 3 7135.79A
Ar 4 7170.70A
Ar 4 7237.77A
Ar 4 7263.33A
Blnd 7323.00A
Blnd 7332.00A
Ar 4 7332.15A
Ar 3 7751.11A
Cl 2 8578.70A
C  1 8727.13A
H  1 9014.87A
S  3 9068.62A
Cl 2 9123.60A
H  1 9228.97A
S  3 9530.62A
H  1 9545.93A
Blnd 9850.00A
H  1 1.00493m
Fe 6 1.01089m
He 2 1.01233m
S  2 1.03205m
He 1 1.08303m
H  1 1.09380m
Fe 2 1.25668m
H  1 1.28180m
H  1 1.73620m
H  1 1.81740m
H  1 1.87510m
H  1 1.94454m
Si 6 1.96247m
He 1 2.05813m
H  1 2.16551m
H  1 2.62513m
Al 5 2.90450m
H  1 3.03835m
Ca 4 3.20610m
H  1 3.29607m
Al 6 3.65932m
H  1 3.73951m
H  1 4.05113m
Mg 4 4.48712m
Ar 6 4.52800m
H  1 4.65247m
H  1 5.12722m
Mg 5 5.60700m
H  1 5.90655m
K  4 5.98030m
Ar 2 6.98337m
Na 3 7.31706m
H  1 7.45777m
H  1 7.50038m
Ne 6 7.64318m
Fe 7 7.81037m
Ar 5 7.89971m
Ar 3 8.98898m
Na 4 9.03098m
Fe 7 9.50763m
S  4 10.5076m
Fe 6 12.3074m
H  1 12.3684m
Ne 2 12.8101m
Ar 5 13.0985m
Ne 5 14.3228m
Cl 2 14.3639m
Fe 6 14.7670m
Ne 3 15.5509m
S  3 18.7078m
Fe 6 19.5527m
Ar 3 21.8300m
Ne 5 24.2065m
O  4 25.8832m
P  2 32.8620m
S  3 33.4704m
Si 2 34.8046m
Ne 3 36.0036m
O  3 51.8004m
N  3 57.3238m
P  2 60.6263m
O  1 63.1679m
O  3 88.3323m
N  2 121.767m
O  1 145.495m
C  2 157.636m
N  2 205.244m
C  1 370.269m
C  1 609.590m
